ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL3088151,Cc1c(-c2csc(/N=C3\SCC(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,inactive,100000.0,4.0
CHEMBL3098838,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2,active,9690.0,5.013676222949234
CHEMBL3098837,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,active,3490.0,5.45717457304082
CHEMBL3098834,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2,inactive,100000.0,4.0
CHEMBL3098844,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)NC1=O)CCC2,active,5390.0,5.268411234813262
CHEMBL2260543,Cc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1,inactive,46000.0,4.337242168318426
CHEMBL3088156,Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1,inactive,100000.0,4.0
CHEMBL2236297,Cc1ccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)cc1,inactive,78000.0,4.107905397309519
OWN_7,O=C1N(C(=N/c2ccc(C)cc2)/SC1CC(O)=O)c1ncn[NH]1,inactive,100000.0,4.0
CHEMBL3098835,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,inactive,100000.0,4.0
CHEMBL3098830,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,inactive,100000.0,4.0
CHEMBL4288578,Cc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,active,9460.0,5.024108863598207
CHEMBL3098839,Cc1ccc(C(=O)CN2C(=O)CSC2=O)cc1,inactive,17030.0,4.768785352037399
CHEMBL256558,Cc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,active,2570.0,5.590066876668706
CHEMBL5192072,Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,active,1240.0,5.906578314837765
CHEMBL5178704,Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,active,9080.0,5.041914151478915
OWN_5,O=C1N(CCc2c[NH]c3ccccc32)C(=N/c2cc(C)ccc2Cl)\SC1CC(O)=O,inactive,100000.0,4.0
CHEMBL4280021,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3cc(Cl)ccc32)cc1,inactive,38610.0,4.413300198375951
CHEMBL4281527,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3cc(F)ccc32)cc1,inactive,13820.0,4.85949195696182
CHEMBL4289418,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(Cl)cc32)cc1,active,9970.0,5.001304841688344
CHEMBL4289180,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(F)cc32)cc1,active,9640.0,5.015922966097169
CHEMBL4293343,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,active,3220.0,5.492144128304169
CHEMBL4284355,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CCC(=O)O)C3=O)nc3ccccc32)cc1,active,8740.0,5.058488567365597
CHEMBL4293594,Cc1ccc(Cn2c(/C=C3\SC(=S)NC3=O)nc3ccccc32)cc1,active,5310.0,5.274905478918531
CHEMBL4202440,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,inactive,50000.0,4.301029995663981
CHEMBL1910507,Cc1ccc2[nH]c(-c3ccccc3)c(/C=C3\SC(=O)NC3=O)c2c1,inactive,100000.0,4.0
CHEMBL5281936,Cc1ccc2c(c1)C1(C(=O)N2)N2CSCC2C(c2ncc[nH]2)C1(C#N)C(=O)c1c[nH]c2ccccc12,inactive,66300.0,4.178486471595227
CHEMBL3794545,Cc1cnc(C(=O)NN2C(=O)CS[C@@H]2c2ccc([N+](=O)[O-])cc2)cn1,inactive,278267.0640320341,3.555538194153283
CHEMBL3794212,Cc1cnc(C(=O)NN2C(=O)CS[C@@H]2c2cccc([N+](=O)[O-])c2)cn1,inactive,278267.0640320341,3.555538194153283
CHEMBL3792481,Cc1cnc(C(=O)NN2C(=O)CS[C@H]2c2ccc(N(C)C)cc2)cn1,inactive,279768.01636083354,3.5532019364201575
CHEMBL5191669,Cn1c2c(c3ccccc31)/C(=C1\S/C(=N/Cc3ccccc3)NC1=O)CCNC2=O,inactive,50000.0,4.301029995663981
CHEMBL5275849,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(C#N)cc3)n2)c2cc(Br)ccc21,inactive,50000.0,4.301029995663981
CHEMBL5286267,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(C#N)cc3)n2)c2ccccc21,inactive,37170.0,4.429807438904274
CHEMBL5279501,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n2)c2cc(Br)ccc21,inactive,19230.0,4.71602071576152
CHEMBL5281614,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n2)c2ccccc21,inactive,30220.0,4.519705539996993
CHEMBL5290278,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3cccc(Cl)c3)n2)c2cc(Br)ccc21,inactive,32790.0,4.484258583330635
CHEMBL5271185,Cn1cc(-c2cc(/N=C3/NC(=O)CS3)n(-c3cccc(Cl)c3)n2)c2ccccc21,inactive,22930.0,4.639595945270061
CHEMBL2236306,Cn1cccc1/C=C1\SC(=O)N(Cc2ccc(C(=O)O)cc2)C1=O,inactive,80000.0,4.096910013008056
CHEMBL5287643,N#Cc1ccc(-n2nc(-c3c[nH]c4ccccc34)cc2/N=C2/NC(=O)CS2)cc1,inactive,34010.0,4.468393368067278
CHEMBL5276285,N#Cc1ccc(-n2nc(-c3cn(Cc4ccccc4)c4ccccc34)cc2/N=C2/NC(=O)CS2)cc1,inactive,22280.0,4.652084813498309
CHEMBL4281661,N#Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,inactive,26580.0,4.575445023393287
CHEMBL4214639,N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,active,2180.0,5.661543506395395
CHEMBL3792977,Nc1nccnc1C(=O)NN1C(=O)CSC1c1ccccc1,inactive,244293.7867439545,3.61208757853262
CHEMBL3098833,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1,active,5750.0,5.2403321553103694
CHEMBL3098832,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1,inactive,100000.0,4.0
