fragment_smiles,frequency_total,frequency_active,frequency_inactive,presence_active_pct,presence_inactive_pct,importance,stability,ac_enrichment,n_cliff_pairs,is_selected,selection_method,was_removed_by_AC
[*]C1C2CSCN2C2(C(=O)Nc3ccc(C)cc32)C1([*])C#N,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CC1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC(Br)CC1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc2c(c1)OCO2,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]CC=C,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]CC(=O)N1N=C(c2ccc(F)cc2)CC1[*],1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cn(C)c2ccccc12,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cn(C)c2ccc(Br)cc12,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccnc1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccccc1[N+](=O)[O-],1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccccc1O,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccc2ccccc12,1,1,0,0.85,0.0,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccc([N+](=O)[O-])c1,4,0,4,0.0,1.67,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cccc(F)c1,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc2oc(=O)c([*])cc2c1,1,1,0,0.85,0.0,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc2c(c1)c([*])cn2C,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc2[nH]cc([*])c2c1,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC(C)CC1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc(O)c([*])c1,5,0,5,0.0,2.09,0.0,0.0,0.0,0,False,not_selected,False
[*]c1ccc(F)c(F)c1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cc2c(c([*])c1[*])OCO2,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cc([*])c(O)c([*])c1,3,0,3,0.0,1.26,0.0,0.0,0.0,0,False,not_selected,False
[*]c1cc(Cl)ccc1O,1,1,0,0.85,0.0,0.0,0.0,0.0,0,False,not_selected,False
[*]c1c[nH]c2ccccc12,13,0,13,0.0,5.44,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCCCC1,12,0,12,0.0,5.02,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC([N+](=O)[O-])CC1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC([*])CC1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC(F)CC1,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC(Cl)CC1Cl,1,0,1,0.0,0.42,0.0,0.0,0.0,0,False,not_selected,False
[*]C1CCC(Cl)CC1,2,0,2,0.0,0.84,0.0,0.0,0.0,0,False,not_selected,False
[*]n1nc([*])cc1/N=C1/NC(=O)CS1,34,0,34,0.0,14.23,0.0,0.0,0.0,0,False,not_selected,False
